Item,Condition,Corr,Length,Zipf,Letter,LetFreq,Group
actual,Word,J,5,5,a,high,1
hardly,Word,J,6,5,a,high,1
average,Word,J,7,5,a,high,1
analysis,Word,J,8,5,a,high,1
attack,Word,J,6,5,a,high,1
dead,Word,J,4,5,e,high,1
medical,Word,J,7,5,e,high,1
bed,Word,J,3,5,e,high,1
career,Word,J,6,5,e,high,1
western,Word,J,7,5,e,high,1
intense,Word,J,7,5,i,high,1
visit,Word,J,5,5,i,high,1
field,Word,J,5,5,i,high,1
sign,Word,J,4,5,i,high,1
fish,Word,J,4,5,i,high,1
quite,Word,J,5,5,q,low,2
unique,Word,J,6,5,q,low,2
quickly,Word,J,7,5,q,low,2
required,Word,J,8,5,q,low,2
square,Word,J,6,5,q,low,2
text,Word,J,4,5,x,low,2
exactly,Word,J,7,5,x,low,2
box,Word,J,3,5,x,low,2
sexual,Word,J,6,5,x,low,2
complex,Word,J,7,5,x,low,2
amazing,Word,J,7,5,z,low,2
dozen,Word,J,5,5,z,low,2
crazy,Word,J,5,5,z,low,2
zone,Word,J,4,5,z,low,2
gaze,Word,J,4,5,z,low,2
artie,NonWord,F,5,,a,high,3
fadd,NonWord,F,6,,a,high,3
aretoft,NonWord,F,7,,a,high,3
alatiras,NonWord,F,8,,a,high,3
tharam,NonWord,F,6,,a,high,3
telo,NonWord,F,4,,e,high,3
repatis,NonWord,F,7,,e,high,3
tef,NonWord,F,3,,e,high,3
larere,NonWord,F,6,,e,high,3
etrenaf,NonWord,F,7,,e,high,3
imelast,NonWord,F,7,,i,high,3
sifir,NonWord,F,5,,i,high,3
lielt,NonWord,F,5,,i,high,3
higm,NonWord,F,4,,i,high,3
rifs,NonWord,F,4,,i,high,3
qatiu,NonWord,F,5,,q,low,4
juquts,NonWord,F,6,,q,low,4
aquivet,NonWord,F,7,,q,low,4
ceqinurg,NonWord,F,8,,q,low,4
maqint,NonWord,F,6,,q,low,4
pexa,NonWord,F,4,,x,low,4
axinart,NonWord,F,7,,x,low,4
nax,NonWord,F,3,,x,low,4
cexina,NonWord,F,6,,x,low,4
lophext,NonWord,F,7,,x,low,4
wezanit,NonWord,F,7,,z,low,4
junzo,NonWord,F,5,,z,low,4
kazof,NonWord,F,5,,z,low,4
zato,NonWord,F,4,,z,low,4
paze,NonWord,F,4,,z,low,4
